model,environment,seed,activity,direct_precision,direct_recall,direct_f1,slot_precision,slot_recall,slot_f1,support,direct_mean_probability,slot_mean_probability
baseline,classroom,39,walk,97.77777777777777,92.63157894736842,95.13513513513514,95.34883720930233,86.31578947368422,90.60773480662984,95,0.25572431087493896,0.26181790232658386
baseline,classroom,39,rotation,68.80733944954129,81.52173913043478,74.6268656716418,63.33333333333333,82.6086956521739,71.69811320754717,92,0.3354094624519348,0.3525013029575348
baseline,classroom,39,jump,60.3448275862069,88.60759493670885,71.7948717948718,56.91056910569105,88.60759493670885,69.3069306930693,79,0.35723841190338135,0.37033721804618835
baseline,classroom,39,wave,61.111111111111114,89.53488372093024,72.64150943396226,61.66666666666667,86.04651162790698,71.84466019417476,86,0.38039687275886536,0.3661554753780365
baseline,classroom,39,lie_down,73.87387387387388,89.13043478260869,80.78817733990148,75.78947368421053,78.26086956521739,77.00534759358288,92,0.3553365468978882,0.33544376492500305
baseline,classroom,39,pick_up,50.0,71.21212121212122,58.75,50.526315789473685,72.72727272727273,59.62732919254658,66,0.3047964572906494,0.33802342414855957
baseline,classroom,39,sit_down,63.63636363636363,72.72727272727273,67.87878787878789,58.69565217391305,70.12987012987013,63.905325443786985,77,0.3126313388347626,0.3111562430858612
baseline,classroom,39,stand_up,84.44444444444444,42.69662921348314,56.71641791044776,70.6896551724138,46.06741573033708,55.78231292517006,89,0.1934795081615448,0.23582397401332855
baseline,classroom,40,walk,97.8021978021978,93.6842105263158,95.6989247311828,96.62921348314607,90.52631578947368,93.47826086956522,95,0.25769349932670593,0.2663836181163788
baseline,classroom,40,rotation,62.04379562043796,92.3913043478261,74.235807860262,59.285714285714285,90.21739130434783,71.55172413793103,92,0.4051680564880371,0.3978506922721863
baseline,classroom,40,jump,60.71428571428571,86.07594936708861,71.20418848167539,57.758620689655174,84.81012658227847,68.71794871794872,79,0.3427821099758148,0.3509137034416199
baseline,classroom,40,wave,66.08695652173913,88.37209302325581,75.62189054726367,63.888888888888886,80.23255813953489,71.1340206185567,86,0.34747564792633057,0.34851083159446716
baseline,classroom,40,lie_down,82.35294117647058,76.08695652173914,79.09604519774011,79.48717948717949,67.3913043478261,72.94117647058823,92,0.27584922313690186,0.28035616874694824
baseline,classroom,40,pick_up,48.333333333333336,87.87878787878788,62.365591397849464,50.45045045045045,84.84848484848484,63.2768361581921,66,0.3835824131965637,0.3838960826396942
baseline,classroom,40,sit_down,67.94871794871796,68.83116883116884,68.38709677419355,61.627906976744185,68.83116883116884,65.03067484662577,77,0.2873028814792633,0.31337401270866394
baseline,classroom,40,stand_up,68.96551724137932,44.9438202247191,54.421768707483,64.70588235294117,49.43820224719101,56.05095541401274,89,0.2200096845626831,0.26448723673820496
baseline,classroom,41,walk,94.68085106382979,93.6842105263158,94.17989417989418,96.55172413793103,88.42105263157895,92.3076923076923,95,0.2786431610584259,0.26674118638038635
baseline,classroom,41,rotation,72.44897959183673,77.17391304347827,74.73684210526315,72.3404255319149,73.91304347826086,73.11827956989248,92,0.3190452456474304,0.3200305700302124
baseline,classroom,41,jump,71.76470588235294,77.21518987341773,74.39024390243902,73.07692307692307,72.15189873417721,72.61146496815286,79,0.2953999638557434,0.30352869629859924
baseline,classroom,41,wave,66.36363636363637,84.88372093023256,74.48979591836735,63.33333333333333,66.27906976744185,64.77272727272727,86,0.38332968950271606,0.34061944484710693
baseline,classroom,41,lie_down,76.0,82.6086956521739,79.16666666666666,78.04878048780488,69.56521739130434,73.5632183908046,92,0.32174286246299744,0.30033406615257263
baseline,classroom,41,pick_up,50.90909090909091,84.84848484848484,63.63636363636363,58.82352941176471,75.75757575757575,66.22516556291392,66,0.38165283203125,0.34917116165161133
baseline,classroom,41,sit_down,55.172413793103445,83.11688311688312,66.32124352331607,55.00000000000001,71.42857142857143,62.14689265536724,77,0.37793639302253723,0.3466017246246338
baseline,classroom,41,stand_up,67.41573033707866,67.41573033707866,67.41573033707866,69.33333333333334,58.42696629213483,63.41463414634146,89,0.30449968576431274,0.30993473529815674
baseline,classroom,42,walk,97.77777777777777,92.63157894736842,95.13513513513514,97.59036144578313,85.26315789473684,91.01123595505618,95,0.2643180787563324,0.26866865158081055
baseline,classroom,42,rotation,68.67469879518072,61.95652173913043,65.14285714285715,64.36781609195403,60.86956521739131,62.56983240223464,92,0.2781992256641388,0.3108976185321808
baseline,classroom,42,jump,78.125,63.29113924050633,69.93006993006993,77.94117647058823,67.08860759493672,72.10884353741497,79,0.23896338045597076,0.286543071269989
baseline,classroom,42,wave,68.93203883495146,82.55813953488372,75.13227513227513,61.81818181818181,79.06976744186046,69.38775510204081,86,0.3477673828601837,0.3780330717563629
baseline,classroom,42,lie_down,76.47058823529412,84.78260869565217,80.41237113402062,75.0,78.26086956521739,76.59574468085107,92,0.35243284702301025,0.34807583689689636
baseline,classroom,42,pick_up,72.58064516129032,68.18181818181817,70.3125,65.67164179104478,66.66666666666666,66.16541353383458,66,0.2935129702091217,0.3301878869533539
baseline,classroom,42,sit_down,64.04494382022472,74.02597402597402,68.67469879518072,63.095238095238095,68.83116883116884,65.83850931677019,77,0.34447506070137024,0.3612388074398041
baseline,classroom,42,stand_up,68.04123711340206,74.15730337078652,70.96774193548387,65.06024096385542,60.67415730337079,62.7906976744186,89,0.34503012895584106,0.353649765253067
