sample_index,file_id,velocity_l2,acceleration_l2,activity_count,nothing,walk,rotation,jump,wave,lie_down,pick_up,sit_down,stand_up,environment,model
0,act_28_18,12.092147827148438,14.046609878540039,3,1,1,0,0,0,0,0,0,1,classroom,baseline
1,act_27_38,11.421348571777344,17.34213638305664,2,0,1,0,0,0,1,0,0,0,classroom,baseline
2,act_35_36,10.021446228027344,15.166313171386719,5,1,1,1,1,0,0,0,0,1,classroom,baseline
3,act_22_33,14.332865715026855,21.89792251586914,1,0,0,0,0,0,0,0,0,1,classroom,baseline
4,act_21_79,14.229249000549316,23.393611907958984,1,0,0,0,0,0,0,1,0,0,classroom,baseline
5,act_23_33,9.14097785949707,12.89472484588623,1,1,0,0,0,0,0,0,0,0,classroom,baseline
6,act_26_82,7.816542148590088,11.759389877319336,1,1,0,0,0,0,0,0,0,0,classroom,baseline
7,act_22_27,12.644404411315918,21.810611724853516,1,0,0,1,0,0,0,0,0,0,classroom,baseline
8,act_34_58,15.15088176727295,23.28213119506836,3,0,0,0,1,1,1,0,0,0,classroom,baseline
9,act_19_29,7.646195888519287,10.080642700195312,1,0,1,0,0,0,0,0,0,0,classroom,baseline
10,act_31_41,15.771452903747559,24.141700744628906,4,0,0,0,0,1,1,1,1,0,classroom,baseline
11,act_23_67,10.920066833496094,15.620210647583008,1,0,0,0,0,1,0,0,0,0,classroom,baseline
12,act_28_20,19.102458953857422,29.662986755371094,3,0,1,1,1,0,0,0,0,0,classroom,baseline
13,act_33_95,13.9179105758667,19.637048721313477,1,0,0,0,0,1,0,0,0,0,classroom,baseline
14,act_26_71,13.044105529785156,18.180389404296875,2,0,0,0,0,0,0,0,1,1,classroom,baseline
15,act_34_23,12.90455150604248,20.244243621826172,5,0,0,0,0,1,1,1,1,1,classroom,baseline
16,act_26_95,7.584921360015869,11.645593643188477,1,0,0,0,0,1,0,0,0,0,classroom,baseline
17,act_29_36,11.042381286621094,17.73761749267578,3,1,0,1,0,0,0,0,0,1,classroom,baseline
18,act_31_40,12.68189525604248,17.80215835571289,4,0,0,0,1,1,1,1,0,0,classroom,baseline
19,act_32_27,11.313846588134766,18.094268798828125,4,1,0,1,1,0,0,0,0,1,classroom,baseline
20,act_29_5,12.578797340393066,18.524505615234375,3,0,0,0,0,1,1,0,1,0,classroom,baseline
21,act_29_30,9.013240814208984,12.890219688415527,3,0,0,1,1,0,1,0,0,0,classroom,baseline
22,act_20_99,14.313382148742676,21.753978729248047,1,0,0,0,0,0,0,0,0,1,classroom,baseline
23,act_31_39,16.671188354492188,28.438753128051758,4,0,0,1,1,1,1,0,0,0,classroom,baseline
24,act_34_54,13.981792449951172,17.92796516418457,3,1,1,0,0,0,0,0,0,1,classroom,baseline
25,act_32_25,13.278603553771973,20.8997859954834,4,1,1,0,0,0,0,1,1,0,classroom,baseline
26,act_30_62,16.687536239624023,27.023326873779297,2,1,0,0,0,0,0,0,1,0,classroom,baseline
27,act_24_60,10.553436279296875,13.291341781616211,1,0,0,0,0,0,1,0,0,0,classroom,baseline
28,act_20_55,7.4273200035095215,10.836786270141602,1,1,0,0,0,0,0,0,0,0,classroom,baseline
29,act_32_11,12.605359077453613,19.869766235351562,4,0,1,1,0,1,1,0,0,0,classroom,baseline
30,act_23_27,11.631915092468262,19.181419372558594,1,0,0,0,1,0,0,0,0,0,classroom,baseline
31,act_21_88,14.20316219329834,21.186016082763672,1,0,0,0,0,0,0,1,0,0,classroom,baseline
32,act_25_2,11.698387145996094,17.649112701416016,2,0,1,1,0,0,0,0,0,0,classroom,baseline
33,act_35_38,10.673457145690918,14.652973175048828,5,0,1,1,1,1,1,0,0,0,classroom,baseline
34,act_32_20,8.901415824890137,13.9179048538208,4,0,1,1,0,1,1,0,0,0,classroom,baseline
35,act_34_22,11.34335994720459,13.426223754882812,5,0,0,0,1,1,1,1,1,0,classroom,baseline
36,act_31_85,10.463996887207031,18.55026626586914,1,0,0,0,1,0,0,0,0,0,classroom,baseline
37,act_33_47,16.350629806518555,24.773643493652344,3,0,1,1,1,0,0,0,0,0,classroom,baseline
38,act_36_1,9.838522911071777,14.315544128417969,5,1,1,1,1,1,0,0,0,0,classroom,baseline
39,act_21_83,11.351094245910645,16.443824768066406,1,0,1,0,0,0,0,0,0,0,classroom,baseline
40,act_24_62,9.845050811767578,14.406181335449219,1,0,0,0,0,0,0,0,1,0,classroom,baseline
41,act_20_30,13.42352294921875,21.44544792175293,1,0,0,0,1,0,0,0,0,0,classroom,baseline
42,act_32_39,6.630692005157471,9.510934829711914,4,0,0,1,1,0,1,1,0,0,classroom,baseline
