environment,activity,baseline,lejepa,mse_delta_lejepa_minus_baseline
classroom,jump,0.1875586211681366,0.16089604794979095,-0.026662573218345642
classroom,lie_down,0.19668084383010864,0.1851973831653595,-0.011483460664749146
classroom,nothing,0.17961211502552032,0.15131057798862457,-0.028301537036895752
classroom,pick_up,0.2252509444952011,0.19437797367572784,-0.030872970819473267
classroom,rotation,0.17334862053394318,0.15726988017559052,-0.01607874035835266
classroom,sit_down,0.2229267954826355,0.19970214366912842,-0.02322465181350708
classroom,stand_up,0.21101228892803192,0.1783118098974228,-0.03270047903060913
classroom,walk,0.18194712698459625,0.15895505249500275,-0.022992074489593506
classroom,wave,0.19022417068481445,0.1684858500957489,-0.021738320589065552
empty_room,jump,0.20326939225196838,0.15550497174263,-0.04776442050933838
empty_room,lie_down,0.21845926344394684,0.17314565181732178,-0.04531361162662506
empty_room,nothing,0.2019129991531372,0.16444729268550873,-0.03746570646762848
empty_room,pick_up,0.2361522763967514,0.18495137989521027,-0.05120089650154114
empty_room,rotation,0.21293732523918152,0.16422468423843384,-0.04871264100074768
empty_room,sit_down,0.2327243834733963,0.1889335662126541,-0.04379081726074219
empty_room,stand_up,0.2274441123008728,0.18134824931621552,-0.04609586298465729
empty_room,walk,0.20927433669567108,0.1801833063364029,-0.02909103035926819
empty_room,wave,0.2063324898481369,0.15885592997074127,-0.04747655987739563
meeting_room,jump,0.16664792597293854,0.142574742436409,-0.02407318353652954
meeting_room,lie_down,0.17652732133865356,0.15397389233112335,-0.022553429007530212
meeting_room,nothing,0.17359928786754608,0.13821107149124146,-0.035388216376304626
meeting_room,pick_up,0.18251709640026093,0.15739218890666962,-0.02512490749359131
meeting_room,rotation,0.16158097982406616,0.13821691274642944,-0.02336406707763672
meeting_room,sit_down,0.19268403947353363,0.1664588749408722,-0.026225164532661438
meeting_room,stand_up,0.19128550589084625,0.15692025423049927,-0.034365251660346985
meeting_room,walk,0.14844954013824463,0.13769051432609558,-0.010759025812149048
meeting_room,wave,0.16533298790454865,0.15103211998939514,-0.014300867915153503
