sample_index,file_id,velocity_l2,acceleration_l2,activity_count,nothing,walk,rotation,jump,wave,lie_down,pick_up,sit_down,stand_up,environment,model
0,act_64_18,10.563577651977539,17.825265884399414,3,1,1,0,0,0,0,0,0,1,meeting_room,baseline
1,act_63_38,9.295426368713379,12.653705596923828,2,0,1,0,0,0,1,0,0,0,meeting_room,baseline
2,act_71_36,13.316752433776855,17.346900939941406,5,1,1,1,1,0,0,0,0,1,meeting_room,baseline
3,act_58_33,13.130053520202637,19.578105926513672,1,0,0,0,0,0,0,0,0,1,meeting_room,baseline
4,act_57_79,12.891558647155762,16.347768783569336,1,0,0,0,0,0,0,1,0,0,meeting_room,baseline
5,act_59_33,3.0773770809173584,4.77114725112915,1,1,0,0,0,0,0,0,0,0,meeting_room,baseline
6,act_62_82,12.237339973449707,19.33109474182129,1,1,0,0,0,0,0,0,0,0,meeting_room,baseline
7,act_58_27,13.897071838378906,21.781959533691406,1,0,0,1,0,0,0,0,0,0,meeting_room,baseline
8,act_70_58,10.33127212524414,17.686006546020508,3,0,0,0,1,1,1,0,0,0,meeting_room,baseline
9,act_55_29,10.259989738464355,13.627238273620605,1,0,1,0,0,0,0,0,0,0,meeting_room,baseline
10,act_67_41,18.174789428710938,31.54460334777832,4,0,0,0,0,1,1,1,1,0,meeting_room,baseline
11,act_59_67,7.056711196899414,11.058113098144531,1,0,0,0,0,1,0,0,0,0,meeting_room,baseline
12,act_64_20,9.334976196289062,15.29773235321045,3,0,1,1,1,0,0,0,0,0,meeting_room,baseline
13,act_69_95,8.02711009979248,11.7890625,1,0,0,0,0,1,0,0,0,0,meeting_room,baseline
14,act_62_71,13.237262725830078,16.997940063476562,2,0,0,0,0,0,0,0,1,1,meeting_room,baseline
15,act_70_23,13.098645210266113,22.278785705566406,5,0,0,0,0,1,1,1,1,1,meeting_room,baseline
16,act_62_95,6.363152980804443,9.528535842895508,1,0,0,0,0,1,0,0,0,0,meeting_room,baseline
17,act_65_36,12.879582405090332,19.103275299072266,3,1,0,1,0,0,0,0,0,1,meeting_room,baseline
18,act_67_40,11.30074405670166,20.24897003173828,4,0,0,0,1,1,1,1,0,0,meeting_room,baseline
